"","ExportValue","ExportWeight","ImportValue","ImportWeight","Name"
"1",15.19,24.04,11.04,27.8,"Albania"
"2",5.45,19.32,29.68,37.1,"Algeria"
"3",2.3,23.62,0.01,0.1,"Andorra"
"4",0.67,2.54,4.8,1.8,"Angola"
"5",243.42,416.81,2.93,3.9,"Argentina"
"6",0.54,0.98,0.56,0.8,"Armenia"
"7",767.2,2384.31,87.96,159.2,"Australia"
"8",593.71,1832.31,732.88,2361.2,"Austria"
"9",1.23,4.94,0.49,1.1,"Azerbaijan"
"10",0.44,0.81,289.72,70.6,"Bahamas"
"11",213.43,250.54,17.18,39.7,"Bangladesh"
"12",30.34,72.31,25.43,42.6,"Belarus"
"13",2744.3,6934.46,1933.56,4400.7,"Belgium"
"14",0.92,7.17,2.33,5.5,"Belize"
"15",0.88,4.67,0.11,0,"Bhutan"
"16",27.73,63.79,12.53,24.6,"Bosnia and Herzegovina"
"17",1.93,5.3,4.53,3.2,"Botswana"
"18",63.12,152.02,53.32,113.6,"Brazil"
"19",64.96,117.65,49.37,182.6,"Bulgaria"
"20",0.16,4.52,0.27,1.6,"Burkina Faso"
"21",0.03,0.25,0.08,0.1,"Burundi"
"22",0.02,0.18,0.25,0.2,"Cabo Verde"
"23",10.83,58.01,0.9,1.1,"Cambodia"
"24",0.61,1.76,1.75,2.6,"Cameroon"
"25",65.94,116.87,69.22,94.4,"Chile"
"26",522.49,654.16,60434.84,110601.1,"China"
"27",30.72,57.53,27.69,106.2,"Colombia"
"28",49.63,114.46,35.2,95.9,"Costa Rica"
"29",48.74,133.3,43.54,93.4,"Croatia"
"30",0.17,0.57,0.19,0.3,"Cuba"
"31",19.78,72.76,0.41,0.2,"Cyprus"
"32",391.01,1671.71,306.98,774.1,"Denmark"
"33",0,0,0.02,0.1,"Dominica"
"34",128.41,222.64,16.61,36.8,"Ecuador"
"35",64.48,87.26,1.17,0.2,"Egypt"
"36",82.86,214.71,19.91,35.7,"Estonia"
